Breed,Male Min,Male Max,Female Min,Female Max
Affenpinscher,7,10,7,10
Afghan Hound,50,60,50,60
Airedale Terrier,50,70,50,70
Akita,70,130,70,130
Alaskan Klee Kai,6,25,6,25
Alaskan Malamute,75,85,75,85
American Bulldog,70,85,65,80
American English Coonhound,45,65,45,65
American Eskimo Dog,6,35,6,35
American Foxhound,60,70,60,70
American Hairless Terrier,12,28,12,28
American Leopard Hound,45,75,35,65
American Staffordshire Terrier,40,70,40,70
American Water Spaniel,25,45,25,45
Anatolian Shepherd Dog,80,150,80,150
Appenzeller Sennenhund,48,70,48,70
Australian Cattle Dog,35,50,35,50
Australian Kelpie,35,50,35,50
Australian Shepherd,40,65,40,65
Australian Stumpy Tail Cattle Dog,32,45,32,45
Australian Terrier,15,20,15,20
Azawakh,33,55,33,55
Barbado da Terceira,46,60,46,60
Barbet,35,65,35,65
Basenji,22,24,22,24
Basset Fauve de Bretagne,23,39,23,39
Basset Hound,40,65,40,65
Bavarian Mountain Scent Hound,37,66,37,66
Beagle,15,13,15,13
Bearded Collie,45,55,45,55
Beauceron,70,110,70,110
Bedlington Terrier,17,23,17,23
Belgian Laekenois,55,65,55,65
Belgian Malinois,40,80,40,80
Belgian Sheepdog,45,75,45,75
Belgian Tervuren,45,75,45,75
Bergamasco Sheepdog,57,84,57,84
Berger Picard,50,70,50,70
Bernese Mountain Dog,70,115,70,115
Bichon Frise,12,18,12,18
Biewer Terrier,4,8,4,8
Black and Tan Coonhound,65,110,65,110
Black Russian Terrier,80,130,80,130
Bloodhound,80,110,80,110
Blue Picardy Spaniel,50,55,45,50
Bluetick Coonhound,45,80,45,80
Boerboel,150,200,150,200
Bohemian Shepherd,37,60,37,60
Bolognese,6,10,6,10
Border Collie,30,55,30,55
Borzoi,60,105,60,105
Boston Terrier,12,25,12,25
Bouvier des Flandres,70,110,70,110
Boxer,15,80,15,80
Boykin Spaniel,25,40,25,40
Bracco Italiano,55,90,55,90
Braque du Bourbonnais,35,53,35,53
Braque Francais Pyrenean,40,55,40,55
Braque Saint-Germain,40,58,40,58
Brazilian Terrier,20,25,19,24
Briard,55,100,55,100
Brittany,30,40,30,40
Broholmer,90,150,90,150
Brussels Griffon,8,10,8,10
Bull Terrier,50,70,50,70
Bulldog,40,50,40,50
Bullmastiff,100,130,100,130
Cairn Terrier,13,14,13,14
Calupoh,70,100,70,100
Canaan Dog,35,55,35,55
Canadian Eskimo Dog,66,88,40,66
Cardigan Welsh Corgi,25,38,25,38
Carolina Dog,30,55,30,55
Catahoula Leopard Dog,50,95,50,95
Caucasian Shepherd Dog,99,170,99,170
Cavalier King Charles Spaniel,13,18,13,18
Central Asian Shepherd Dog,88,110,88,110
Cesky Terrier,14,24,14,24
Chesapeake Bay Retriever,55,80,55,80
Chihuahua,5,7,5,7
Chinese Crested,8,12,8,12
Chinese Shar-Pei,45,60,45,60
Chinook,50,90,50,90
Chow Chow,45,70,45,70
Cirneco dell'Etna,20,28,19,25
Clumber Spaniel,55,85,55,85
Cocker Spaniel,20,30,20,30
Collie,50,75,50,75
Coton de Tulear,8,15,8,15
Croatian Sheepdog,29,44,29,44
Curly-Coated Retriever,60,95,60,95
Dachshund,11,32,11,32
Dalmatian,45,70,45,70
Dandie Dinmont Terrier,18,24,18,24
Danish-Swedish Farmdog,15,20,15,20
Deutscher Wachtelhund,40,55,40,55
Doberman Pinscher,60,100,60,100
Dogo Argentino,80,100,80,100
Dogue de Bordeaux,99,110,99,110
Drentsche Patrijshond,70,73,55,60
Drever,35,40,35,40
Dutch Shepherd,42,75,42,75
English Cocker Spaniel,26,34,26,34
English Foxhound,60,75,60,75
English Setter,45,80,45,80
English Springer Spaniel,40,50,40,50
English Toy Spaniel,8,14,8,14
Entlebucher Mountain Dog,40,65,40,65
Estrela Mountain Dog,77,132,77,132
Eurasier,40,70,40,70
Field Spaniel,35,50,35,50
Finnish Lapphund,33,53,33,53
Finnish Spitz,20,33,20,33
Flat-Coated Retriever,60,70,60,70
French Bulldog,26,31,25,30
French Spaniel,50,60,50,60
German Longhaired Pointer,55,80,55,80
German Pinscher,25,45,25,45
German Shepherd Dog,50,90,50,90
German Shorthaired Pointer,45,70,45,70
German Spitz,24,26,24,26
German Wirehaired Pointer,50,70,50,70
Giant Schnauzer,75,95,55,80
